Topic,W3_Mean,W5_Mean,W3_Std,W5_Std,W3_Compact,W5_Compact,Recommended
War,0.41256694327324706,0.42368699025743267,0.07907015989912962,0.08550551576873112,0.6512150384635593,0.6059936266892532,W5
Health,0.3810539437994045,0.3861893823158162,0.06629703209521065,0.07001225309814145,0.6355763037541406,0.5962705770853456,W5
Technology,0.3846504815466641,0.38995376876668664,0.07279748574328684,0.07658393668653711,0.6382814934969138,0.6223270097914116,W5
Climate,0.39369355381262106,0.39627556058133667,0.08106429465107186,0.08514384685581475,0.6213072860966553,0.5714964622844952,W5
Economics,0.37279046157620604,0.39314045514651863,0.06349477578905241,0.0792847834632755,0.5532891184600958,0.4813934408201346,W5
